ID,Name,Sex,Age,Height,Weight,Team,Year,Sport,Event,Medal
29,Vyacheslav Dmitriyevich Andrusenko,M,24,194,85,Russia,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
30,Rami Anis,M,25,178,78,Refugee Olympic Athletes,2016,Swimming,Swimming Men's 100 metres Freestyle,NA
30,Rami Anis,M,25,178,78,Refugee Olympic Athletes,2016,Swimming,Swimming Men's 100 metres Butterfly,NA
31,Tomomi Aoki,F,21,164,55,Japan,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
32,Nada Mohammed Wafa S Arakji,F,21,163,59,Qatar,2016,Swimming,Swimming Women's 100 metres Butterfly,NA
33,"Kalliopi ""Kelly"" Araouzou",F,25,169,55,Greece,2016,Swimming,Swimming Women's 10 kilometres Open Water,NA
34,Isabella Arcila Hurtado,F,22,168,64,Colombia,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
35,Samantha Michelle Arvalo Salinas,F,21,171,60,Ecuador,2016,Swimming,Swimming Women's 10 kilometres Open Water,NA
36,Pol Arias Dourdet,M,19,175,80,Andorra,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
37,Antonio Arroyo Prez,M,22,170,63,Spain,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
38,Heather Ann Arseth,F,22,170,60,Mauritius,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
39,Bradlee Logan Taylor Ashby,M,20,200,92,New Zealand,2016,Swimming,Swimming Men's 200 metres Butterfly,NA
39,Bradlee Logan Taylor Ashby,M,20,200,92,New Zealand,2016,Swimming,Swimming Men's 200 metres Individual Medley,NA
40,Jessica Ashwood,F,23,173,64,Australia,2016,Swimming,Swimming Women's 400 metres Freestyle,NA
40,Jessica Ashwood,F,23,173,64,Australia,2016,Swimming,Swimming Women's 800 metres Freestyle,NA
40,Jessica Ashwood,F,23,173,64,Australia,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
41,Merdan Ataew,M,21,196,80,Turkmenistan,2016,Swimming,Swimming Men's 100 metres Backstroke,NA
42,Soule Soilihi Athoumane,M,25,180,75,Comoros,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
43,Alia Shanee Atkinson,F,27,172,71,Jamaica,2016,Swimming,Swimming Women's 100 metres Breaststroke,NA
44,"Hoi Shun ""Stephanie"" Au",F,24,172,56,Hong Kong,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
45,Felix Aubck,M,19,198,85,Austria,2016,Swimming,Swimming Men's 200 metres Freestyle,NA
45,Felix Aubck,M,19,198,85,Austria,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
45,Felix Aubck,M,19,198,85,Austria,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
46,Jordan Augier,M,21,171,53,Saint Lucia,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
47,"Dionisio Augustine, II",M,24,153,65,Federated States of Micronesia,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
48,Ekaterina Ivanova Avramova,F,24,180,68,Turkey,2016,Swimming,Swimming Women's 200 metres Backstroke,NA
49,Ventsislav Vasilev Aydarski,M,25,168,60,Bulgaria,2016,Swimming,Swimming Men's 10 kilometres Open Water,NA
50,Nooran Ahmed Ali Ba Matraf,F,16,166,60,Yemen,2016,Swimming,Swimming Women's 100 metres Butterfly,NA
51,Baek Su-Yeon,F,25,173,61,South Korea,2016,Swimming,Swimming Women's 200 metres Breaststroke,NA
52,Kathleen Baker,F,19,173,68,United States,2016,Swimming,Swimming Women's 100 metres Backstroke,Silver
52,Kathleen Baker,F,19,173,68,United States,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
53,Dmitry Igorevich Balandin,M,21,195,85,Kazakhstan,2016,Swimming,Swimming Men's 100 metres Breaststroke,NA
53,Dmitry Igorevich Balandin,M,21,195,85,Kazakhstan,2016,Swimming,Swimming Men's 200 metres Breaststroke,Gold
54,Coralie Balmy,F,29,180,67,France,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
54,Coralie Balmy,F,29,180,67,France,2016,Swimming,Swimming Women's 400 metres Freestyle,NA
54,Coralie Balmy,F,29,180,67,France,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
55,Gbor Balog,M,25,186,80,Hungary,2016,Swimming,Swimming Men's 100 metres Backstroke,NA
55,Gbor Balog,M,25,186,80,Hungary,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
56,Haris Bandey,M,17,167,79,Pakistan,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
57,Khader Ghetrich Baqlah,M,17,184,80,Jordan,2016,Swimming,Swimming Men's 200 metres Freestyle,NA
58,Talita Baqlah,F,20,172,62,Jordan,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
59,"Katarzyna ""Kasia"" Baranowska",F,28,184,72,Poland,2016,Swimming,Swimming Women's 200 metres Individual Medley,NA
60,Azad Al-Barazi,M,28,195,85,Syria,2016,Swimming,Swimming Men's 100 metres Breaststroke,NA
61,Anthony John Barbar,M,23,201,100,Lebanon,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
62,Virginia Bardach Martn,F,24,174,57,Argentina,2016,Swimming,Swimming Women's 200 metres Butterfly,NA
62,Virginia Bardach Martn,F,24,174,57,Argentina,2016,Swimming,Swimming Women's 200 metres Individual Medley,NA
62,Virginia Bardach Martn,F,24,174,57,Argentina,2016,Swimming,Swimming Women's 400 metres Individual Medley,NA
63,Bronte Amelia Arnold Barratt,F,27,171,59,Australia,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
63,Bronte Amelia Arnold Barratt,F,27,171,59,Australia,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver
64,Batsaikhanyn Dlgn,M,29,179,72,Mongolia,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
65,Martin Bau,M,21,182,74,Slovenia,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
66,Ashton Baumann,M,23,191,74,Canada,2016,Swimming,Swimming Men's 200 metres Breaststroke,NA
67,Simona Baumrtov,F,24,176,68,Czech Republic,2016,Swimming,Swimming Women's 100 metres Backstroke,NA
67,Simona Baumrtov,F,24,176,68,Czech Republic,2016,Swimming,Swimming Women's 200 metres Backstroke,NA
67,Simona Baumrtov,F,24,176,68,Czech Republic,2016,Swimming,Swimming Women's 200 metres Individual Medley,NA
67,Simona Baumrtov,F,24,176,68,Czech Republic,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
68,Bayaryn Yosi,F,16,176,61,Mongolia,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
69,Hamdan Iqbal Ahmed Bayusuf,M,21,182,64,Kenya,2016,Swimming,Swimming Men's 100 metres Backstroke,NA
70,"Joshua ""Josh"" Beaver",M,23,175,70,Australia,2016,Swimming,Swimming Men's 100 metres Backstroke,NA
70,"Joshua ""Josh"" Beaver",M,23,175,70,Australia,2016,Swimming,Swimming Men's 200 metres Backstroke,NA
71,Leonie Antonia Beck,F,19,184,62,Germany,2016,Swimming,Swimming Women's 800 metres Freestyle,NA
72,Elizabeth Lyon Beisel,F,23,168,68,United States,2016,Swimming,Swimming Women's 400 metres Individual Medley,NA
73,Mireia Belmonte Garca,F,25,170,59,Spain,2016,Swimming,Swimming Women's 400 metres Freestyle,NA
73,Mireia Belmonte Garca,F,25,170,59,Spain,2016,Swimming,Swimming Women's 800 metres Freestyle,NA
73,Mireia Belmonte Garca,F,25,170,59,Spain,2016,Swimming,Swimming Women's 200 metres Butterfly,Gold
73,Mireia Belmonte Garca,F,25,170,59,Spain,2016,Swimming,Swimming Women's 200 metres Individual Medley,NA
73,Mireia Belmonte Garca,F,25,170,59,Spain,2016,Swimming,Swimming Women's 400 metres Individual Medley,Bronze
74,Marco Belotti,M,27,185,76,Italy,2016,Swimming,Swimming Men's 200 metres Freestyle,NA
74,Marco Belotti,M,27,185,76,Italy,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
75,Craig Harry Benson,M,22,183,80,Great Britain,2016,Swimming,Swimming Men's 200 metres Breaststroke,NA
76,"Joseph ""Gunnar"" Bentz",M,20,196,84,United States,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
77,Pter Bernek,M,24,193,83,Hungary,2016,Swimming,Swimming Men's 200 metres Freestyle,NA
77,Pter Bernek,M,24,193,83,Hungary,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
77,Pter Bernek,M,24,193,83,Hungary,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
78,Jules Yao Bessan,M,37,183,85,Benin,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
79,Ilaria Bianchi,F,26,170,65,Italy,2016,Swimming,Swimming Women's 100 metres Butterfly,NA
79,Ilaria Bianchi,F,26,170,65,Italy,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
80,Paul Biedermann,M,29,193,93,Germany,2016,Swimming,Swimming Men's 200 metres Freestyle,NA
80,Paul Biedermann,M,29,193,93,Germany,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
81,Simonas Bilis,M,22,196,84,Lithuania,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
81,Simonas Bilis,M,22,196,84,Lithuania,2016,Swimming,Swimming Men's 100 metres Freestyle,NA
81,Simonas Bilis,M,22,196,84,Lithuania,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
82,Susann Jakobsen Bjrnsen,F,23,182,72,Norway,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
82,Susann Jakobsen Bjrnsen,F,23,182,72,Norway,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
83,Marko Blaevski,M,23,183,73,Macedonia,2016,Swimming,Swimming Men's 200 metres Individual Medley,NA
84,Jason Block,M,26,182,82,Canada,2016,Swimming,Swimming Men's 100 metres Breaststroke,NA
84,Jason Block,M,26,182,82,Canada,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
85,Pernille Blume,F,22,170,58,Denmark,2016,Swimming,Swimming Women's 50 metres Freestyle,Gold
85,Pernille Blume,F,22,170,58,Denmark,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
85,Pernille Blume,F,22,170,58,Denmark,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
85,Pernille Blume,F,22,170,58,Denmark,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
86,Federico Bocchia,M,29,197,93,Italy,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
87,Anastasia Katerina Bogdanovski,F,23,174,57,Macedonia,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
88,Georgia Bohl,F,19,167,54,Australia,2016,Swimming,Swimming Women's 100 metres Breaststroke,NA
88,Georgia Bohl,F,19,167,54,Australia,2016,Swimming,Swimming Women's 200 metres Breaststroke,NA
89,Richrd Bohus,M,23,187,81,Hungary,2016,Swimming,Swimming Men's 100 metres Freestyle,NA
89,Richrd Bohus,M,23,187,81,Hungary,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
89,Richrd Bohus,M,23,187,81,Hungary,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
90,Charlotte Bonnet,F,21,175,64,France,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
90,Charlotte Bonnet,F,21,175,64,France,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
90,Charlotte Bonnet,F,21,175,64,France,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
90,Charlotte Bonnet,F,21,175,64,France,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
90,Charlotte Bonnet,F,21,175,64,France,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
91,Dylan Bosch,M,23,178,75,South Africa,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
91,Dylan Bosch,M,23,178,75,South Africa,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
92,Teona Bostashvili,F,18,159,48,Georgia,2016,Swimming,Swimming Women's 100 metres Breaststroke,NA
93,Dominique Bouchard,F,25,175,61,Canada,2016,Swimming,Swimming Women's 100 metres Backstroke,NA
93,Dominique Bouchard,F,25,175,61,Canada,2016,Swimming,Swimming Women's 200 metres Backstroke,NA
94,Lorys Bourelly,M,24,184,69,France,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
95,"Frdric Thierry Roger ""Frd"" Bousquet",M,35,188,86,France,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
96,George Richard Lycott Bovell,M,33,196,74,Trinidad and Tobago,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
97,Lauren Marie Boyle,F,28,183,67,New Zealand,2016,Swimming,Swimming Women's 400 metres Freestyle,NA
97,Lauren Marie Boyle,F,28,183,67,New Zealand,2016,Swimming,Swimming Women's 800 metres Freestyle,NA
98,David Karl Brandl,M,29,187,82,Austria,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
99,Dorothea Brandt,F,32,178,70,Germany,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
100,Sarah Bro,F,20,177,64,Denmark,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
101,Viktor Bregner Bromer,M,23,194,87,Denmark,2016,Swimming,Swimming Men's 200 metres Butterfly,NA
102,Devon Myles William Brown,M,24,188,80,South Africa,2016,Swimming,Swimming Men's 200 metres Freestyle,NA
102,Devon Myles William Brown,M,24,188,80,South Africa,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
102,Devon Myles William Brown,M,24,188,80,South Africa,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
102,Devon Myles William Brown,M,24,188,80,South Africa,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
103,Annika Bruhn,F,23,183,69,Germany,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
103,Annika Bruhn,F,23,183,69,Germany,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
103,Annika Bruhn,F,23,183,69,Germany,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
104,Rachele Bruni,F,25,170,59,Italy,2016,Swimming,Swimming Women's 10 kilometres Open Water,Silver
105,Aleksey Sergeyevich Bryansky,M,18,192,82,Russia,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
106,Maarten Brzoskowski,M,20,185,79,Netherlands,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
106,Maarten Brzoskowski,M,20,185,79,Netherlands,2016,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA
107,Matelita Buadromo,F,20,171,56,Fiji,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
108,Siri Arun Budcharern,F,14,166,63,Laos,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
109,Jack David Burnell,M,23,185,72,Great Britain,2016,Swimming,Swimming Men's 10 kilometres Open Water,NA
110,Tho Bussire,M,21,188,90,France,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
111,Geoffrey Butler,M,20,188,84,Cayman Islands,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
112,Lara Butler,F,21,172,60,Cayman Islands,2016,Swimming,Swimming Women's 100 metres Backstroke,NA
113,Kimberly Buys,F,27,187,75,Belgium,2016,Swimming,Swimming Women's 100 metres Butterfly,NA
114,Lani Rose Cabrera,F,23,175,66,Barbados,2016,Swimming,Swimming Women's 400 metres Freestyle,NA
115,Basten Caerts,M,18,185,85,Belgium,2016,Swimming,Swimming Men's 200 metres Breaststroke,NA
116,Hilary Caldwell,F,25,173,61,Canada,2016,Swimming,Swimming Women's 200 metres Backstroke,Bronze
117,Amadou Camara,M,22,163,69,Guinea,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
118,Bronte Campbell,F,22,179,58,Australia,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
118,Bronte Campbell,F,22,179,58,Australia,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
118,Bronte Campbell,F,22,179,58,Australia,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
119,Cate Natalie Campbell,F,24,186,67,Australia,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
119,Cate Natalie Campbell,F,24,186,67,Australia,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
119,Cate Natalie Campbell,F,24,186,67,Australia,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
119,Cate Natalie Campbell,F,24,186,67,Australia,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver
120,Cao Yue,F,20,178,72,China,2016,Swimming,Swimming Women's 400 metres Freestyle,NA
121,Diletta Carli,F,20,170,61,Italy,2016,Swimming,Swimming Women's 400 metres Freestyle,NA
122,"Jazmin Roxy ""Jazz"" Carlin",F,25,175,57,Great Britain,2016,Swimming,Swimming Women's 400 metres Freestyle,Silver
122,"Jazmin Roxy ""Jazz"" Carlin",F,25,175,57,Great Britain,2016,Swimming,Swimming Women's 800 metres Freestyle,Silver
123,Laurent Carnol,M,26,187,82,Luxembourg,2016,Swimming,Swimming Men's 100 metres Breaststroke,NA
123,Laurent Carnol,M,26,187,82,Luxembourg,2016,Swimming,Swimming Men's 200 metres Breaststroke,NA
124,Martina Carraro,F,23,175,60,Italy,2016,Swimming,Swimming Women's 100 metres Breaststroke,NA
125,Dylan Carter,M,20,190,82,Trinidad and Tobago,2016,Swimming,Swimming Men's 100 metres Freestyle,NA
126,Diogo Filipe Silva de Carvalho,M,28,184,75,Portugal,2016,Swimming,Swimming Men's 200 metres Individual Medley,NA
127,Arianna Castiglioni,F,18,167,55,Italy,2016,Swimming,Swimming Women's 100 metres Breaststroke,NA
127,Arianna Castiglioni,F,18,167,55,Italy,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
128,Patricia Castro Ortega,F,23,178,66,Spain,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
128,Patricia Castro Ortega,F,23,178,66,Spain,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
128,Patricia Castro Ortega,F,23,178,66,Spain,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
129,Jssica Bruin Cavalheiro,F,25,164,60,Brazil,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
130,Andrea del Rosario Cedrn Rodrguez,F,22,169,62,Peru,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
131,Mihajlo eprkalo,M,17,172,74,Bosnia and Herzegovina,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
132,Tales Rocha Cerdeira,M,29,182,77,Brazil,2016,Swimming,Swimming Men's 200 metres Breaststroke,NA
133,Kyle Chalmers,M,18,193,90,Australia,2016,Swimming,Swimming Men's 100 metres Freestyle,Gold
133,Kyle Chalmers,M,18,193,90,Australia,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
133,Kyle Chalmers,M,18,193,90,Australia,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
134,Natthanan Chankrajang,F,30,166,57,Thailand,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
135,Geoffrey Robin Cheah,M,25,188,70,Hong Kong,2016,Swimming,Swimming Men's 50 metres Freestyle,NA
136,Chen Jie,F,21,177,65,China,2016,Swimming,Swimming Women's 200 metres Backstroke,NA
137,Chen Xinyi,F,18,177,60,China,2016,Swimming,Swimming Women's 100 metres Butterfly,NA
138,"Li Mei ""Camille Lily"" Cheng",F,23,178,65,Hong Kong,2016,Swimming,Swimming Women's 50 metres Freestyle,NA
138,"Li Mei ""Camille Lily"" Cheng",F,23,178,65,Hong Kong,2016,Swimming,Swimming Women's 100 metres Freestyle,NA
138,"Li Mei ""Camille Lily"" Cheng",F,23,178,65,Hong Kong,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
138,"Li Mei ""Camille Lily"" Cheng",F,23,178,65,Hong Kong,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
139,Oreoluwa Cherebin,F,18,150,54,Grenada,2016,Swimming,Swimming Women's 100 metres Butterfly,NA
140,Andrew Chetcuti,M,23,177,72,Malta,2016,Swimming,Swimming Men's 100 metres Freestyle,NA
141,Marcelo Chierighini,M,25,190,86,Brazil,2016,Swimming,Swimming Men's 100 metres Freestyle,NA
141,Marcelo Chierighini,M,25,190,86,Brazil,2016,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,NA
141,Marcelo Chierighini,M,25,190,86,Brazil,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
142,Darya Yaroslavovna Chikunova,F,17,177,59,Russia,2016,Swimming,Swimming Women's 100 metres Breaststroke,NA
143,Svetlana Mikhaylovna Chimrova,F,20,173,61,Russia,2016,Swimming,Swimming Women's 100 metres Butterfly,NA
143,Svetlana Mikhaylovna Chimrova,F,20,173,61,Russia,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
144,Tatiana Chica,F,21,175,60,Moldova,2016,Swimming,Swimming Women's 100 metres Breaststroke,NA
145,Choi Gyu-Wung,M,26,181,75,South Korea,2016,Swimming,Swimming Men's 200 metres Breaststroke,NA
146,Anton Mikhaylovich Chupkov,M,19,188,71,Russia,2016,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
146,Anton Mikhaylovich Chupkov,M,19,188,71,Russia,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
147,Mathilde Cini,F,21,166,62,France,2016,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,NA
148,Carlos Eduardo Claverie Borgiani,M,19,190,68,Venezuela,2016,Swimming,Swimming Men's 100 metres Breaststroke,NA
148,Carlos Eduardo Claverie Borgiani,M,19,190,68,Venezuela,2016,Swimming,Swimming Men's 200 metres Breaststroke,NA
149,Georgia Amy Coates,F,17,170,54,Great Britain,2016,Swimming,Swimming Women's 200 metres Freestyle,NA
149,Georgia Amy Coates,F,17,170,54,Great Britain,2016,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,NA
149,Georgia Amy Coates,F,17,170,54,Great Britain,2016,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA
150,Ryan Andrew Cochrane,M,27,192,80,Canada,2016,Swimming,Swimming Men's 400 metres Freestyle,NA
150,Ryan Andrew Cochrane,M,27,192,80,Canada,2016,Swimming,"Swimming Men's 1,500 metres Freestyle",NA
151,Piero Codia,M,26,190,80,Italy,2016,Swimming,Swimming Men's 100 metres Butterfly,NA
151,Piero Codia,M,26,190,80,Italy,2016,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NA
152,Jordan Coelho,M,24,183,75,France,2016,Swimming,Swimming Men's 200 metres Butterfly,NA
