ID,Name,Sex,Age,Height,Weight,BestTime_100m,AverageTime_100m,training_hours_per_week,Medal
134,Natthanan Chankrajang,F,30,166,57,58.83,59.33,6.0,0
135,Geoffrey Robin Cheah,M,25,188,70,53.71,54.16,10.8,0
136,Chen Jie,F,21,177,65,57.24,57.5,6.7,0
137,Chen Xinyi,F,18,177,60,59.06,61.26,18.9,0
138,"Li Mei ""Camille Lily"" Cheng",F,23,178,65,56.28,58.045,16.425,0
139,Oreoluwa Cherebin,F,18,150,54,55.03,55.24,24.0,0
140,Andrew Chetcuti,M,23,177,72,54.03,54.2,6.5,0
141,Marcelo Chierighini,M,25,190,86,52.46,54.160000000000004,15.733333333333334,0
142,Darya Yaroslavovna Chikunova,F,17,177,59,58.37,59.18,19.4,0
143,Svetlana Mikhaylovna Chimrova,F,20,173,61,58.17,59.16,17.5,0
144,Tatiana Chica,F,21,175,60,58.36,59.85,16.7,0
145,Choi Gyu-Wung,M,26,181,75,55.17,55.65,21.5,0
146,Anton Mikhaylovich Chupkov,M,19,188,71,46.79,50.83,22.25,1
147,Mathilde Cini,F,21,166,62,58.73,58.79,17.3,0
148,Carlos Eduardo Claverie Borgiani,M,19,190,68,52.35,53.96,16.700000000000003,0
149,Georgia Amy Coates,F,17,170,54,57.86,60.00333333333333,20.5,0
150,Ryan Andrew Cochrane,M,27,192,80,50.38,52.72,10.350000000000001,0
151,Piero Codia,M,26,190,80,49.6,51.41,16.45,0
152,Jordan Coelho,M,24,183,75,53.84,54.94,18.0,0
153,Michelle Elizabeth Coleman,F,22,186,74,58.04,60.832499999999996,14.975,0
154,Jhennifer Alves da Conceio,F,19,162,53,58.48,59.0,16.5,0
155,Santo Condorelli,M,21,188,88,50.13,52.425,14.475,0
156,"John ""Jack"" Conger",M,21,193,80,47.89,48.47,34.3,1
157,Tamsin Cook,F,17,170,61,54.08,58.23666666666666,20.266666666666666,1
158,Kevin Cordes,M,22,196,88,48.65,51.36666666666667,21.833333333333332,1
159,Melania Felicitas Costa Schmid,F,27,180,69,57.27,59.655,14.275,0
160,Alin Coste,M,24,201,95,50.58,50.76,16.0,0
161,Alicia Jayne Coutts,F,28,176,69,60.24,60.61,22.8,0
162,Kirsty Leigh Coventry (-Seward),F,32,176,64,55.19,59.67,8.9,0
163,Edgar Roberto Crespo Echeverra,M,27,170,60,53.96,55.33,16.8,0
164,Anja Crevar,F,16,164,49,55.23,56.14,11.9,0
165,Louis Croenen,M,22,186,79,51.94,52.29,18.85,0
166,Jarred Crous,M,20,187,84,52.03,52.43,12.7,0
167,"Lszl Cseh, Jr.",M,30,188,83,48.6,51.935,22.65,1
168,Ana Marcela Jesus Soares da Cunha,F,24,165,66,57.23,57.59,19.3,0
169,Konrad Czerniak,M,27,193,78,51.95,53.49666666666667,16.599999999999998,0
170,Andrea Mitchell D'Arrigo,M,21,194,85,52.52,54.945,19.75,0
171,Duane Da Rocha Marc,F,28,180,60,55.12,56.935,17.2,0
172,Sren Dahl,M,23,193,86,52.93,53.9,19.0,0
173,Thibaut Amani Danho,M,22,185,82,51.3,51.97,12.7,0
174,Debra Daniel,F,25,153,68,62.73,62.82,12.0,0
175,"Mackenzie ""Mack"" Darragh",M,22,185,79,51.41,51.72,17.1,0
176,Ana Iulia Dascl,F,13,183,60,59.16,59.76,19.0,0
177,Georgia Beth Davies,F,25,175,64,58.41,60.114999999999995,16.35,0
178,Leonardo Gomes de Deus,M,25,175,70,50.47,50.9,19.05,0
179,Joo Bevilaqua de Lucca,M,26,193,96,53.71,54.59,14.033333333333333,0
180,Natalia de Luccas,F,19,167,63,57.46,58.13,16.9,0
181,Martina De Memme,F,24,175,65,56.96,57.1,14.0,0
182,Daynara Lopes Ferreira de Paula,F,27,163,55,55.99,57.446666666666665,19.3,0
183,Fanny Deberghes,F,22,170,65,54.24,54.6,13.0,0
184,Steffen Deibler,M,29,186,81,52.21,53.086666666666666,11.299999999999999,0
185,Inge Dekker,F,30,183,67,59.01,59.97,15.5,0
186,Dieter Dekoninck,M,25,190,85,53.12,53.67,12.65,0
187,Jrmy Desplanches,M,21,189,72,49.0,51.989999999999995,14.8,0
188,Gabriele Detti,M,21,184,79,47.65,50.026666666666664,24.566666666666666,1
189,Alex Di Giorgio,M,26,185,75,52.3,54.01,8.3,0
190,Silvia Di Pietro,F,23,165,57,53.95,55.08,15.4,0
191,Christian Diener,M,23,182,82,55.05,55.12,19.2,0
192,Stefanos Dimitriadis,M,26,189,82,50.48,51.09,17.3,0
193,Dimitrios Dimitriou,M,19,179,72,55.2,55.33,18.4,0
194,Shawn Erbelau Dingilius-Wallace,M,22,184,93,49.55,49.66,22.5,0
195,"Madeline Jane ""Maya"" DiRado",F,23,175,65,51.78,52.807500000000005,30.25,1
196,Nicolas d'Oriano,M,19,175,68,52.61,52.97,7.5,0
197,Allan Lopes Mamdio do Carmo,M,27,174,73,47.66,48.37,8.8,0
198,Dong Jie,F,17,170,62,56.92,57.29,16.7,0
199,Frantz Mike Itelord Dorsainvil,M,25,170,59,51.31,52.2,20.3,0
200,Luca Dotto,M,26,192,80,49.72,52.795,18.625,0
201,Anna Dowgiert,F,26,178,65,58.8,61.0,18.55,0
202,Fiona Doyle,F,24,175,65,60.99,62.45,14.950000000000001,0
203,Theodora Drakou,F,24,169,67,62.85,63.47,15.8,0
204,Yevgeny Yuryevich Drattsev,M,33,180,74,51.86,52.0,20.7,0
205,Dion Christian Dreesens,M,23,195,88,53.01,54.0,14.7,0
206,Caeleb Remel Dressel,M,19,191,86,47.82,50.77333333333333,25.8,1
207,Ilya Andreyevich Druzhinin,M,18,173,63,53.71,53.8,8.6,0
208,talo Manzine Amaral Duarte Garfalo,M,24,180,73,52.46,52.68,17.7,0
209,Damir Dugonji,M,28,202,105,53.21,54.55,11.6,0
210,Miguel Durn Navia,M,20,193,80,50.63,54.915,10.65,0
211,Conor James Dwyer,M,27,196,89,47.82,50.22666666666667,22.03333333333333,1
212,Naito Ehara,M,23,172,59,47.44,50.59,18.0,1
213,Marwan Ahmed Aly Morsy El-Amrawy,M,21,194,93,53.45,53.84,21.1,0
214,Marwan Mohamed Ismail Mohamed Aly El-Kamash,M,22,183,77,50.18,50.88,8.2,0
215,Brittany Joyce Elmslie,F,22,179,73,52.96,53.925,32.5,1
216,Esteban Jos Enderica Salgado,M,25,177,71,54.38,55.245,15.75,0
217,Douglas John Erasmus,M,26,182,78,53.13,54.04,27.0,0
218,Anthony Lee Ervin,M,35,191,80,46.34,47.915,28.3,1
219,Blair Catherine Evans,F,25,175,65,57.26,57.42,21.0,0
220,Joanna Evans,F,19,180,66,56.83,59.60999999999999,18.533333333333335,0
221,Margaux Nicole Jeanne Aude Fabre,F,23,173,58,57.54,58.09,9.4,0
222,Mara Fernanda Far Nuez,F,18,163,57,60.26,60.51,15.7,0
223,Farhan Salih Farhan,M,19,179,67,49.68,49.98,14.5,0
224,"Eleanor Jane ""Ellie"" Faulkner",F,23,165,68,56.08,56.59,23.4,0
225,"James ""Jimmy"" Feigen",M,26,196,98,46.98,47.19,30.0,1
226,Erika Ferraioli,F,30,180,65,55.62,57.77333333333333,17.76666666666667,0
227,Christoph Fildebrandt,M,27,193,80,53.14,54.57,15.0,0
228,Julian Fletcher,M,25,184,79,53.09,53.69,11.5,0
229,Hali Flickinger,F,22,168,52,55.75,56.81,18.6,0
230,Dvid Fldhzi,M,21,190,84,56.11,56.18,7.9,0
231,Amini Tuitavake Britteon Fonua,M,26,186,80,53.65,53.67,12.3,0
232,Felipe Alves Frana da Silva,M,29,186,90,51.69,53.945,11.8,0
233,Sara Franceschi,F,17,178,61,55.22,56.93,15.5,0
234,"Melissa Jeanette ""Missy"" Franklin",F,21,188,77,52.29,55.78666666666667,22.7,1
235,Thomas William Fraser-Holmes,M,24,194,85,54.33,55.45666666666667,12.533333333333333,0
236,Bruno Giuseppe Fratus,M,27,187,80,54.96,55.63,24.2,0
237,Lotte Friis,F,28,184,74,59.17,60.435,12.45,0
238,Serhiy Anatoliyovych Frolov,M,24,190,84,53.68,55.03,17.3,0
239,Fu Yuanhui,F,20,179,63,51.63,56.644999999999996,23.549999999999997,1
240,Takuro Fujii,M,31,184,82,54.26,55.41,12.4,0
241,Hiromasa Fujimori,M,24,176,72,52.03,52.09,23.3,0
242,Colleen Furgeson,F,17,176,65,58.45,58.8,20.7,0
243,Ftima Gallardo Carapeto,F,19,180,60,58.73,59.215,13.100000000000001,0
244,Elisbet Gmez Matos,F,19,163,57,57.75,58.54,18.8,0
245,Heidi Gan,F,27,162,57,55.28,56.1,16.9,0
246,Vanessa Milagros Garca Vega,F,32,173,75,57.74,58.05,5.0,0
247,Stina Karolina Gardell,F,26,172,70,53.8,53.98,13.3,0
248,Hannibal David Gaskin,M,18,173,68,54.87,55.94,22.7,0
249,Helena Gasson,F,21,172,76,56.13,57.269999999999996,15.55,0
250,Bryl milie Paulette Gastaldello,F,21,176,66,58.67,60.89,21.075,0
251,Ahmed Gebrel,M,25,180,73,51.73,52.21,20.9,0
252,Rahel Fseha Gebresilassie,F,20,160,55,58.4,58.58,26.6,0
253,Aleksandra Viktorovna Gerasimenya,F,30,175,60,52.89,57.06,19.3,1
254,"Spyridon ""Spyros"" Gianniotis",M,36,185,78,48.11,48.32,35.1,1
255,Fabien Pierre Aurlien Dominique Gilot,M,32,193,85,47.55,47.62,28.5,1
256,Nomi Girardet,F,21,174,61,62.35,62.72,16.0,0
257,Jan-Philip Glania,M,27,194,90,50.89,54.27,13.0,0
258,Robert Andrei Glin,M,19,185,72,52.94,54.239999999999995,15.8,0
259,Mads Glsner,M,27,191,81,56.06,56.43,13.5,0
260,Kristian Golomeev,M,23,202,95,51.67,53.615,14.5,0
261,Joo Luiz Gomes Jnior,M,30,190,89,50.16,51.535,12.55,0
262,Jonathan David Gmez Noriega,M,20,178,78,49.93,52.52,11.7,0
263,Hugo Gonzlez de Oliveira,M,17,192,82,52.12,53.099999999999994,19.8,0
264,Marta Gonzlez Crivillers,F,21,181,73,59.08,59.49,17.1,0
265,Kennedy Goss,F,19,173,74,52.3,53.46,31.3,1
266,Ralph Goveia Assafrao,M,20,178,77,53.18,53.2,19.5,0
267,Federico Grabich,M,26,193,92,51.44,52.78666666666667,17.133333333333336,0
268,Lisa Graf,F,23,183,69,57.97,58.82,12.2,0
269,Lara Grangeon,F,24,173,60,55.81,57.370000000000005,13.25,0
270,Santiago Grassi,M,19,187,82,51.78,51.8,21.1,0
271,Benjmin Grtz,M,20,183,75,52.41,52.52,22.1,0
272,Andrey Vladimirovich Grechin,M,28,199,99,51.6,54.015,21.4,0
273,Vanessa Grimberg,F,23,176,63,57.59,57.77,9.8,0
274,Madeline Groves,F,21,179,66,51.94,54.91,27.400000000000002,1
275,Valerie Gruest Slowing,F,17,172,63,59.49,60.025000000000006,15.95,0
276,Chelsea Lea Gubecka,F,17,162,62,58.63,58.79,9.9,0
277,Guilherme Augusto Guido,M,29,194,90,51.09,53.81,17.85,0
278,Viktoria Zeynep Gne,F,18,185,66,57.44,59.98,20.433333333333334,0
279,Sean Michael Gunn,M,22,181,84,53.81,53.89,15.9,0
280,Sirish Gurung,M,17,158,65,54.84,55.35,17.3,0
281,Eygl sk Gstafsdttir,F,21,187,82,53.82,57.885000000000005,18.450000000000003,0
282,Allan Gutirrez Castro,M,22,178,79,57.69,58.49,26.3,0
283,Long Yuan Miguel Gutirrez Feng,M,21,190,85,49.99,50.34,20.9,0
284,James George Guy,M,20,187,83,47.37,51.182,21.380000000000003,1
285,Rka Gyrgy,F,20,175,56,57.76,59.09,16.3,0
286,Dniel Gyurta,M,27,185,77,53.03,56.56666666666666,10.966666666666667,0
287,Gergely Gyurta,M,24,178,72,49.0,51.095,10.5,0
288,Francis Townley Haas,M,19,196,84,47.76,51.15,22.1,1
289,Robel Kiros Habte,M,24,176,81,56.42,57.07,11.1,0
290,Clo Hache,F,18,171,62,59.23,60.28,19.8,0
291,Iacovos Hadjiconstantinou,M,21,194,80,46.56,47.17,26.7,0
292,Kosuke Hagino,M,21,177,71,46.99,48.942499999999995,29.4,1
293,Alexandre Haldemann,M,21,186,81,52.62,53.15,19.6,0
294,"Francesca Jean ""Fran"" Halsall",F,26,172,64,60.12,60.705,16.799999999999997,0
295,Molly Hannis,F,24,170,70,60.89,61.38,19.7,0
296,Jacob Hansford,M,20,182,77,53.27,53.63,17.2,0
297,Louise Maria Hansson,F,19,187,71,54.46,57.614,20.28,0
298,Sophie Elizabeth Hansson,F,18,186,74,57.78,59.095,14.35,0
299,Isabelle Hrle,F,28,175,64,58.22,58.47,13.6,0
300,Giordan Harris,M,23,185,99,56.62,58.73,9.6,0
301,Junya Hasegawa,M,22,180,70,51.05,51.13,16.9,0
302,Suzuka Hasegawa,F,16,165,56,58.53,59.29,12.0,0
303,Julia Hassler,F,23,177,73,57.4,57.44,16.8,0
304,Camilla Hattersley,F,21,174,59,56.43,57.80500000000001,13.2,0
305,Siobhn Bernadette Haughey,F,18,177,64,61.73,62.23,20.5,0
306,He Jianbin,M,23,188,83,55.57,56.72,11.9,0
307,"Frederike Johanna Maria ""Femke"" Heemskerk",F,28,180,68,56.0,58.35,12.1,0
308,Franois Heersbrandt,M,26,179,74,54.02,54.13,21.0,0
309,Jacob Oskar Julius Heidtmann,M,21,195,83,51.21,52.82,22.25,0
310,Philip Marvin Heintz,M,25,194,85,55.06,55.82,10.0,0
311,Hem Thon Vitiny,F,22,163,52,58.23,58.54,14.5,0
312,Mlanie Hnique,F,23,171,60,56.25,56.51,13.9,0
313,Franziska Hentke,F,27,169,62,54.34,55.515,13.45,0
314,Graciele Herrmann,F,24,180,64,55.08,56.22,9.0,0
315,Rebecca Heyliger,F,23,161,54,53.87,54.03,5.0,0
316,Hilal Hemed Hilal,M,22,176,63,52.36,52.81,19.3,0
317,Johannes Hintze,M,17,193,82,52.99,53.68,19.4,0
318,Yasunari Hirai,M,26,175,75,51.45,51.67,16.8,0
319,Chad Ho,M,26,172,75,52.2,52.81,19.0,0
320,Hong Qu Phc,M,23,182,76,56.27,56.65,18.0,0
321,"Benjamin Thomas ""Ben"" Hockin Brusquetti",M,29,195,90,55.58,55.91,8.6,0
322,Belinda Jane Hocking,F,25,167,57,56.02,56.38,18.8,0
323,Pter Holoda,M,20,196,90,46.62,47.11,25.6,0
324,Tamila Hryhorivna Holub,F,17,175,62,58.86,59.14,27.4,0
325,Stephanie Horner,F,27,180,69,56.27,57.06,21.6,0
326,Bjrn Hornikel,M,24,192,91,52.44,53.315,14.649999999999999,0
327,"Mackenzie ""Mack"" Horton",M,20,190,88,48.58,51.63666666666666,22.733333333333334,1
328,Dvid Horvth,M,20,175,73,52.52,53.66,12.1,0
329,Natsumi Hoshi,F,25,164,56,54.92,56.165,22.9,1
330,Katinka Hossz,F,27,175,65,52.57,55.164,27.18,1
331,Hou Yawen,F,17,181,71,55.03,55.14,11.0,0
332,Andriy Andriyovych Hovorov,M,24,190,89,55.09,56.0,11.7,0
333,Jade Ashleigh Howard,F,21,182,68,58.64,58.91,16.7,0
334,Sidni Hoxha,M,24,193,86,52.07,52.39,19.3,0
335,Hu Yixuan,M,21,185,83,52.48,53.4,23.6,0
336,Mohamed Hussein,M,24,188,78,51.65,51.88,7.9,0
337,"Matthew ""Matt"" Hutchins",M,21,190,75,52.39,54.055,13.25,0
338,Liliana Ibez Lpez,F,25,180,70,58.3,59.73,19.8,0
339,Haneen Ibrahim,F,16,154,47,56.29,56.94,13.8,0
340,Chihiro Igarashi,F,21,170,61,54.86,57.5,19.566666666666666,0
341,Judit Ignacio Sorribes,F,22,165,58,55.24,56.97,15.4,0
342,Rikako Ikee,F,16,170,56,55.62,60.00857142857143,14.299999999999999,0
343,Runa Imai,F,15,163,50,60.81,61.14,26.0,0
344,Maksim Ini,M,20,186,80,55.3,55.6,8.8,0
345,Santisouk Inthavong,M,16,170,60,53.81,54.3,10.9,0
346,Anton rskov Ipsen,M,21,186,74,50.05,52.84,20.15,0
347,Billy Scott Irakose,M,19,196,74,53.07,53.28,14.9,0
348,Ryosuke Irie,M,26,178,64,50.88,51.836666666666666,17.166666666666668,0
349,Grant Irvine,M,25,187,80,52.08,55.425,14.8,0
350,Amit Ivry,F,26,170,65,57.72,59.985,16.05,0
351,"Danila Sergeyevich ""Dan"" Izotov",M,24,192,90,52.16,52.54,14.9,0
352,Connor Jaeger,M,25,185,77,48.27,50.94,19.6,1
353,"Zsuzsanna ""Zsu"" Jakabos",F,27,185,70,59.68,61.31333333333333,19.7,0
354,Mimosa Jallow,F,22,176,63,56.61,58.68,11.2,0
355,Pavel Janeek,M,22,196,85,50.01,50.46,17.2,0
356,Julie Kepp Jensen,F,16,177,65,57.83,59.37,13.8,0
357,Pl Vitalis Joensen,M,25,180,75,55.13,56.17,11.4,0
358,Jennie Caroline Eleonore Johansson,F,28,188,71,58.38,59.565,12.55,0
359,Damien Joly,M,24,189,72,52.48,55.685,21.4,0
360,Bayan Jumah,F,22,182,76,61.64,61.94,25.8,0
361,Pawe Juraszek,M,21,185,68,55.46,55.64,24.1,0
362,Calvyn Justus,M,20,195,70,52.9,53.72,18.7,0
363,Amina Kajtaz,F,19,173,62,59.38,59.59,16.7,0
364,Chase Tyler Kalisz,M,22,193,86,51.05,52.08,24.3,1
365,Uvis Kalni,M,22,192,85,53.34,53.88,28.6,0
366,Ziv Kalontarov,M,19,185,70,51.11,52.415,14.3,0
367,Victoria Kaminskaya,F,20,164,53,58.93,60.894999999999996,13.9,0
368,Masaki Kaneko,M,24,181,75,51.02,51.34,16.5,0
369,Rie Kaneto,F,27,175,64,54.0,54.17,32.7,1
370,Boglrka Kaps,F,23,168,54,52.49,57.70333333333334,26.566666666666666,1
371,Nezir Karap,M,22,179,74,54.82,55.73,17.0,0
